procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 4497112   3936 945852    0    0   349    41 1563    1  0  0 100  0  0  0
 0  0      0 4497028   3944 945872    0    0     0     6  821 1051  0  0 100  0  0  0
 0  0      0 4497888   3944 945872    0    0     0     0  647  777  0  0 100  0  0  0
 0  0      0 4497388   3952 945864    0    0     0    88 2634 4197  0  0 99  0  0  0
 2  0      0 4488764   5352 947636    0    0  1658    60 3980 6823  1  1 98  0  0  0
10  0      0 3974992   8456 991584    0    0 22536     0 3267 3044  5  4 91  1  0  0
 9  0      0 2989308   8456 1002468    0    0  5428     0 5687 1287 35 14 51  0  0  0
14  0      0 2525612   8472 1005220    0    0  1492    36 5745 1410 29 13 59  0  0  0
10  0      0 3327304   8472 1005220    0    0     0     0 9083 4492 34  9 57  0  0  0
10  0      0 3110896   8472 1005220    0    0     0     0 11865 7766 39 11 50  0  0  0
10  0      0 2416736   8488 1005204    0    0     0    12 5663 1657 32  9 59  0  0  0
10  0      0 3101620   8488 1005204    0    0     0    36 5159 1344 33  8 59  0  0  0
 0  0      0 3319564   8488 1005908    0    0     0     0 7901 4714 40  9 51  0  0  0
10  0      0 2490968   8504 1005908    0    0     0    12 5269 1333 31 11 58  0  0  0
10  0      0 2560608   8504 1005916    0    0     0     0 8696 7441 33 10 57  0  0  0
 8  0      0 3503320   8504 1005908    0    0     0     0 5669 1901 35  8 57  0  0  0
10  0      0 2822856   8524 1005916    0    0     2    18 5673  996 37 11 52  0  0  0
10  0      0 2792112   8524 1005916    0    0     0     0 7052 4557 33  8 58  0  0  0
11  0      0 3100224   8524 1005908    0    0     0    68 5511 1745 30 12 58  0  0  0
10  0      0 3260404   8540 1005916    0    0     0    18 10019 8586 39 11 50  0  0  0
10  0      0 2666824   8540 1005924    0    0     0     0 5264 1727 30  9 61  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 3082556   8540 1005924    0    0     0    10 5270 1267 33  9 58  0  0  0
10  0      0 3251732   8556 1005940    0    0     0    12 7782 4584 40  9 51  0  0  0
10  0      0 2245000   8572 1005928    0    0     0    88 5468 1983 30 11 59  0  0  0
10  0      0 2739672   8572 1005928    0    0     0     0 8706 7697 33  9 58  0  0  0
 1  0      0 3211780   8580 1005936    0    0     0     6 5577 1592 35  7 58  0  0  0
 8  0      0 3057116   8588 1005956    0    0     0    24 5992 1331 39 10 51  0  0  0
10  0      0 2338040   8588 1005960    0    0     0     0 7018 4485 32 10 58  0  0  0
 9  0      0 2701376   8596 1005960    0    0     0     6 5356 1553 32  9 59  0  0  0
 1  0      0 3254660   8604 1005944    0    0     0     8 9182 8254 36  9 56  0  0  0
