procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 3296976   4132 983900    0    0   324    43 1836    1  2  1 97  0  0  0
 0  0      0 3301844   4132 984156    0    0   128     0 1151 1712  3  0 97  0  0  0
 0  0      0 3301508   4148 984140    0    0     0    34  490  847  0  0 100  0  0  0
 0  0      0 3301260   4148 984140    0    0     0    40 2477 4392  0  0 99  0  0  0
 0  0      0 3299956   4148 984140    0    0     0     2  751 1073  0  0 100  0  0  0
 0  0      0 3299008   4164 984124    0    0     0    16 3737 6652  0  0 99  0  0  0
 0  0      0 3298740   4164 984124    0    0     0     0  885 1358  0  0 100  0  0  0
 0  0      0 3298468   4164 984124    0    0     0     0  554  797  0  0 100  0  0  0
 0  0      0 3299728   4180 984108    0    0     0    12 2195 3739  0  0 100  0  0  0
 0  0      0 3299728   4180 984108    0    0     0     0  703 1025  0  0 100  0  0  0
 0  0      0 3306112   4180 984468    0    0     0     0 3473 6073  0  0 99  0  0  0
 0  0      0 3306112   4196 984468    0    0     0    12  731 1080  0  0 100  0  0  0
 1  0      0 3306112   4196 984468    0    0     0     2  614  906  0  0 100  0  0  0
 1  0      0 3303980   4196 984468    0    0     0     0 2440 4095  0  1 99  0  0  0
 0  0      0 3304652   4212 984468    0    0     0    12  729  977  0  0 99  0  0  0
 0  0      0 3308404   4212 984468    0    0     0    66 3986 6920  0  0 99  0  0  0
 0  0      0 3308152   4212 984468    0    0     0     0  647 1084  0  0 100  0  0  0
 0  0      0 3308152   4228 984468    0    0     0    18  528  900  0  0 100  0  0  0
 0  0      0 3307904   4228 984468    0    0     0     0 1982 3603  0  0 100  0  0  0
 0  0      0 3307652   4228 984468    0    0     0     0  650 1024  0  0 100  0  0  0
 0  0      0 3306336   4236 984468    0    0     0    18 3799 6786  1  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 3306344   4244 984468    0    0     0     6  730 1165  0  0 100  0  0  0
 0  0      0 3305840   4244 984468    0    0     0     0  531  800  0  0 100  0  0  0
 0  0      0 3305340   4252 984468    0    0     0     6 2342 4076  0  0 100  0  0  0
 0  0      0 3305340   4252 984468    0    0     0     0  631  949  0  0 100  0  0  0
 0  0      0 3305092   4260 984468    0    0     0     6 3380 5928  0  0 99  0  0  0
 0  0      0 3304904   4268 984460    0    0     0     6  607  906  0  0 100  0  0  0
 0  0      0 3304904   4268 984460    0    0     0     0  558  862  0  0 100  0  0  0
 0  0      0 3305932   4268 984460    0    0     0     2 2531 4175  0  0 99  0  0  0
 0  0      0 3306280   4284 984452    0    0     0    12  500  709  0  0 100  0  0  0
